Date,Close,Open,High,Low,Volume,Change %
2019-01-31,10830.95,10690.55,10838.05,10678.55,604820000.0,1.68%
2019-02-01,10893.65,10851.35,10983.45,10813.45,482270000.0,0.58%
2019-02-04,10912.25,10876.75,10927.9,10814.15,318300000.0,0.17%
2019-02-05,10934.35,10908.65,10956.7,10886.7,268100000.00000003,0.20%
2019-02-06,11062.45,10965.1,11072.6,10962.7,298510000.0,1.17%
2019-02-07,11069.4,11070.45,11118.1,11043.6,263540000.00000003,0.06%
2019-02-08,10943.6,11023.5,11041.2,10925.45,352790000.0,-1.14%
2019-02-11,10888.8,10930.9,10930.9,10857.1,285980000.0,-0.50%
2019-02-12,10831.4,10879.7,10910.9,10823.8,292320000.0,-0.53%
2019-02-13,10793.65,10870.55,10891.65,10772.1,321960000.0,-0.35%
2019-02-14,10746.05,10786.1,10792.7,10718.75,627040000.0,-0.44%
2019-02-15,10724.4,10780.25,10785.75,10620.4,521880000.0,-0.20%
2019-02-18,10640.95,10738.65,10759.9,10628.4,345440000.0,-0.78%
2019-02-19,10604.35,10636.7,10722.85,10585.65,291510000.0,-0.34%
2019-02-20,10735.45,10655.45,10752.7,10646.4,289200000.0,1.24%
2019-02-21,10789.85,10744.1,10808.85,10721.5,279580000.0,0.51%
2019-02-22,10791.65,10782.7,10801.55,10758.4,396850000.0,0.02%
2019-02-25,10880.1,10813.25,10887.1,10788.05,385900000.0,0.82%
2019-02-26,10835.3,10775.3,10888.75,10729.3,414950000.0,-0.41%
2019-02-27,10806.65,10881.2,10939.7,10751.2,381080000.0,-0.26%
2019-02-28,10792.5,10865.7,10865.7,10784.85,644160000.0,-0.13%
2019-03-01,10863.5,10842.65,10877.9,10823.1,308530000.0,0.66%
2019-03-05,10987.45,10864.85,10994.9,10817.0,373220000.0,1.14%
2019-03-06,11053.0,11024.85,11062.3,10998.85,372550000.0,0.60%
2019-03-07,11058.2,11077.95,11089.05,11027.1,321210000.0,0.05%
2019-03-08,11035.4,11038.85,11049.0,11008.95,326570000.0,-0.21%
2019-03-11,11168.05,11068.75,11180.9,11059.85,352240000.0,1.20%
2019-03-12,11301.2,11231.35,11320.4,11227.0,391310000.0,1.19%
2019-03-13,11341.7,11326.2,11352.3,11276.6,383000000.0,0.36%
2019-03-14,11343.25,11382.5,11383.45,11313.75,294480000.0,0.01%
2019-03-15,11426.85,11376.85,11487.0,11370.8,463700000.0,0.74%
2019-03-18,11462.2,11473.85,11530.15,11412.5,320250000.0,0.31%
